,Unnamed: 0,song_popularity,song_duration_ms,acousticness,danceability,energy,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
0,0,73.0,262333.0,0.00552,0.496,0.682,8.0,0.0589,4.095,1.0,0.0294,167.06,4.0,0.474
1,1,66.0,216933.0,0.0103,0.542,0.853,3.0,0.108,6.407,0.0,0.0498,105.256,4.0,0.37
2,2,76.0,231733.0,0.00817,0.737,0.463,0.0,0.255,7.828,1.0,0.0792,123.881,4.0,0.324
3,3,74.0,216933.0,0.0264,0.451,0.97,0.0,0.102,4.938,1.0,0.107,122.444,4.0,0.198
4,4,56.0,223826.0,0.000954,0.447,0.766,10.0,0.113,5.065,1.0,0.0313,172.011,4.0,0.574
5,5,80.0,235893.0,0.00895,0.316,0.945,4.0,0.396,3.169,0.0,0.124,189.931,4.0,0.32
6,6,81.0,199893.0,0.000504,0.581,0.887,4.0,0.268,3.659,0.0,0.0624,90.578,4.0,0.724
7,7,76.0,213800.0,0.00148,0.613,0.953,2.0,0.152,3.435,1.0,0.0855,105.046,4.0,0.537
8,8,80.0,222586.0,0.00108,0.33,0.936,1.0,0.0926,3.66,1.0,0.0917,148.112,4.0,0.234
9,9,81.0,203346.0,0.00172,0.542,0.905,9.0,0.136,5.653,1.0,0.054,153.398,4.0,0.374
10,10,78.0,168253.0,0.0424,0.629,0.897,2.0,0.263,3.401,1.0,0.0483,161.944,4.0,0.93
11,11,63.0,185586.0,0.0046,0.496,0.863,9.0,0.639,4.153,1.0,0.0381,110.018,4.0,0.243
12,12,75.0,209266.0,0.00434,0.647,0.964,9.0,0.15,4.225,0.0,0.06,126.942,4.0,0.875
13,13,81.0,269000.0,0.0179,0.618,0.938,9.0,0.167,3.442,1.0,0.0456,91.455,4.0,0.875
14,14,69.0,210240.0,0.000353,0.42,0.929,7.0,0.122,3.899,0.0,0.121,127.204,4.0,0.3
15,15,77.0,237026.0,0.000423,0.278,0.676,9.0,0.136,8.821,1.0,0.0371,104.545,4.0,0.494
16,16,71.0,227240.0,0.00136,0.659,0.778,11.0,0.0841,6.423,1.0,0.0379,110.022,4.0,0.623
17,17,62.0,256600.0,0.00701,0.37,0.944,1.0,0.135,4.979,0.0,0.0767,130.315,4.0,0.345
18,18,77.0,187613.0,0.0938,0.5670000000000001,0.795,9.0,0.114,4.985,0.0,0.134,170.06,4.0,0.635
19,19,79.0,233933.0,0.00664,0.545,0.865,11.0,0.168,5.708,0.0,0.0286,99.01,4.0,0.543
20,20,69.0,231533.0,0.0014,0.309,0.912,4.0,0.582,3.881,0.0,0.0646,183.035,3.0,0.302
21,21,79.0,230760.0,0.00552,0.276,0.715,0.0,0.201,5.356,1.0,0.0432,137.028,4.0,0.173
22,22,13.0,255066.0,0.0137,0.518,0.538,0.0,0.141,5.818,1.0,0.0486,170.953,4.0,0.687
23,23,62.0,195666.0,0.0171,0.58,0.981,8.0,0.386,2.603,0.0,0.06,134.007,4.0,0.861
24,24,77.0,304840.0,0.000202,0.602,0.905,2.0,0.117,4.046,1.0,0.0775,128.019,4.0,0.411
25,25,79.0,232533.0,0.872,0.657,0.291,2.0,0.114,10.572,1.0,0.0293,103.973,4.0,0.298
26,26,28.0,303920.0,0.0102,0.44,0.932,3.0,0.142,4.488,0.0,0.0584,157.438,4.0,0.495
27,27,78.0,176346.0,2.64e-05,0.38,0.988,1.0,0.368,2.042,1.0,0.0639,186.113,4.0,0.769
28,28,77.0,311106.0,0.000289,0.217,0.905,2.0,0.222,4.103,1.0,0.0752,96.95,4.0,0.236
29,29,71.0,213106.0,0.0156,0.7140000000000001,0.725,4.0,0.0726,6.411,1.0,0.0402,99.988,4.0,0.59
30,30,11.0,262733.0,0.000194,0.5820000000000001,0.597,5.0,0.517,5.671,1.0,0.0512,167.738,4.0,0.674
31,31,77.0,293960.0,0.00797,0.614,0.568,7.0,0.0997,5.477,0.0,0.0276,107.849,4.0,0.516
32,32,65.0,264706.0,0.00189,0.509,0.774,6.0,0.143,4.054,1.0,0.0338,116.529,4.0,0.0824
33,33,75.0,231480.0,0.00461,0.498,0.83,6.0,0.139,5.157,0.0,0.0421,89.342,4.0,0.453
34,34,74.0,213760.0,0.00506,0.599,0.932,9.0,0.269,3.328,1.0,0.18,96.234,4.0,0.692
35,35,74.0,178266.0,0.000618,0.574,0.911,9.0,0.0769,5.176,1.0,0.0715,98.075,4.0,0.573
36,36,11.0,269373.0,0.000917,0.433,0.959,9.0,0.028,4.04,1.0,0.0431,172.984,4.0,0.365
37,37,73.0,242280.0,0.00164,0.5489999999999999,0.93,5.0,0.39,3.468,0.0,0.0487,112.447,4.0,0.526
38,38,74.0,201960.0,0.00347,0.6559999999999999,0.932,4.0,0.144,3.405,0.0,0.0708,130.936,4.0,0.544
39,39,79.0,229093.0,0.00898,0.499,0.824,7.0,0.163,4.741,1.0,0.0794,161.977,4.0,0.699
40,40,70.0,193373.0,0.0223,0.624,0.899,0.0,0.0975,5.71,1.0,0.0295,104.055,4.0,0.797
41,41,60.0,282946.0,0.0417,0.545,0.753,3.0,0.389,4.618,0.0,0.036,105.754,4.0,0.434
42,42,69.0,200546.0,5.53e-05,0.374,0.961,10.0,0.138,4.421,0.0,0.0851,167.032,4.0,0.357
43,43,73.0,279213.0,0.000996,0.695,0.876,3.0,0.106,4.262,0.0,0.0553,89.954,4.0,0.941
44,44,62.0,212733.0,0.0006309999999999,0.246,0.768,9.0,0.102,7.48,1.0,0.0387,169.873,4.0,0.35
45,45,72.0,256240.0,0.00834,0.563,0.86,8.0,0.39,7.533,1.0,0.0621,97.867,4.0,0.517
46,46,57.0,194520.0,0.000153,0.391,0.831,2.0,0.141,3.892,1.0,0.0613,139.946,4.0,0.683
47,47,71.0,206586.0,0.000213,0.309,0.875,1.0,0.113,4.49,1.0,0.0488,143.526,4.0,0.725
48,48,63.0,173680.0,0.00225,0.535,0.948,6.0,0.376,4.19,0.0,0.0356,103.183,4.0,0.778
49,49,64.0,215266.0,0.0132,0.524,0.578,9.0,0.108,4.563,1.0,0.12,123.669,4.0,0.537
50,50,71.0,270920.0,0.00014,0.468,0.769,4.0,0.271,7.036,1.0,0.041,104.102,4.0,0.17
51,51,61.0,175026.0,0.000295,0.5920000000000001,0.932,6.0,0.138,4.491,0.0,0.0885,93.675,4.0,0.698
52,52,67.0,246040.0,4.78e-05,0.213,0.93,0.0,0.126,4.478,1.0,0.0671,169.221,4.0,0.386
53,53,63.0,176306.0,5.1e-05,0.219,0.952,2.0,0.157,3.621,1.0,0.176,112.886,1.0,0.172
54,54,72.0,277840.0,0.000336,0.433,0.854,9.0,0.162,3.868,1.0,0.0483,89.4,4.0,0.368
55,55,71.0,238400.0,0.000671,0.509,0.843,1.0,0.348,3.318,0.0,0.0488,140.055,3.0,0.332
56,56,70.0,207213.0,0.00018,0.546,0.959,8.0,0.0584,4.664,1.0,0.082,127.831,4.0,0.416
57,57,65.0,218000.0,6.94e-06,0.408,0.965,2.0,0.11,4.232,1.0,0.05,136.018,4.0,0.349
58,58,69.0,299533.0,0.000249,0.269,0.853,7.0,0.118,4.647,0.0,0.0854,141.581,4.0,0.179
59,59,66.0,247266.0,3.32e-05,0.365,0.894,11.0,0.267,4.682,0.0,0.0572,82.305,3.0,0.31
60,60,94.0,210367.0,0.0143,0.818,0.54,6.0,0.099,6.35,0.0,0.0544,97.064,4.0,0.174
61,61,98.0,212500.0,0.153,0.841,0.798,1.0,0.0618,4.206,0.0,0.229,95.948,4.0,0.591
62,62,59.0,-18528908788662.0,0.0983,0.83,0.497,1.0,0.0906,6.94,1.0,0.052,127.965,4.0,0.634
63,63,73.0,199230.0,0.0557,0.687,0.766,11.0,0.146,6.08,1.0,0.054,94.973,4.0,0.303
64,64,94.0,180000.0,0.346,0.638,0.717,2.0,0.105,4.722,1.0,0.0337,100.027,4.0,0.249
65,65,87.0,179693.0,0.352,0.746,0.703,4.0,0.331,4.179,0.0,0.107,166.043,4.0,0.667
